xlow	xhigh	val	errminus	errplus
9.480000e-01	9.600000e-01	6.855082e+00	4.411552e-02	4.411552e-02
9.600000e-01	9.720000e-01	6.586575e+00	4.212924e-02	4.212924e-02
9.720000e-01	9.840000e-01	6.469618e+00	4.173305e-02	4.173305e-02
9.840000e-01	9.960000e-01	6.256305e+00	4.099253e-02	4.099253e-02
9.960000e-01	1.008000e+00	6.112490e+00	4.100617e-02	4.100617e-02
1.008000e+00	1.020000e+00	5.933676e+00	3.946088e-02	3.946088e-02
1.020000e+00	1.032000e+00	5.793560e+00	3.896986e-02	3.896986e-02
1.032000e+00	1.044000e+00	5.573061e+00	3.779484e-02	3.779484e-02
1.044000e+00	1.056000e+00	5.459375e+00	3.740978e-02	3.740978e-02
1.056000e+00	1.068000e+00	5.385167e+00	3.681883e-02	3.681883e-02
1.068000e+00	1.080000e+00	5.192193e+00	3.683285e-02	3.683285e-02
1.080000e+00	1.092000e+00	5.057838e+00	3.580312e-02	3.580312e-02
1.092000e+00	1.104000e+00	4.920150e+00	3.453948e-02	3.453948e-02
1.104000e+00	1.116000e+00	4.871330e+00	3.449609e-02	3.449609e-02
1.116000e+00	1.128000e+00	4.672650e+00	3.360376e-02	3.360376e-02
1.128000e+00	1.140000e+00	4.542453e+00	3.275759e-02	3.275759e-02
1.140000e+00	1.152000e+00	4.495507e+00	3.291966e-02	3.291966e-02
1.152000e+00	1.164000e+00	4.344821e+00	3.199946e-02	3.199946e-02
1.164000e+00	1.176000e+00	4.256417e+00	3.194448e-02	3.194448e-02
1.176000e+00	1.188000e+00	4.186916e+00	3.117065e-02	3.117065e-02
1.188000e+00	1.200000e+00	4.077116e+00	3.082654e-02	3.082654e-02
1.200000e+00	1.212000e+00	3.984191e+00	3.050379e-02	3.050379e-02
1.212000e+00	1.224000e+00	3.873201e+00	3.000940e-02	3.000940e-02
1.224000e+00	1.236000e+00	3.845443e+00	3.006669e-02	3.006669e-02
1.236000e+00	1.248000e+00	3.759688e+00	2.909652e-02	2.909652e-02
1.248000e+00	1.260000e+00	3.763158e+00	3.024600e-02	3.024600e-02
1.260000e+00	1.272000e+00	3.656845e+00	2.944310e-02	2.944310e-02
1.272000e+00	1.284000e+00	3.553488e+00	2.894937e-02	2.894937e-02
1.284000e+00	1.296000e+00	3.522317e+00	2.951803e-02	2.951803e-02
1.296000e+00	1.308000e+00	3.457152e+00	2.927133e-02	2.927133e-02
1.308000e+00	1.320000e+00	3.427801e+00	2.873926e-02	2.873926e-02
1.320000e+00	1.332000e+00	3.365410e+00	2.802056e-02	2.802056e-02
1.332000e+00	1.344000e+00	3.315319e+00	2.852149e-02	2.852149e-02
1.344000e+00	1.356000e+00	3.270716e+00	2.876974e-02	2.876974e-02
1.356000e+00	1.368000e+00	3.246377e+00	2.905747e-02	2.905747e-02
1.368000e+00	1.380000e+00	3.240594e+00	2.988586e-02	2.988586e-02
1.380000e+00	1.392000e+00	3.141637e+00	2.776958e-02	2.776958e-02
1.392000e+00	1.404000e+00	3.132781e+00	2.926990e-02	2.926990e-02
1.404000e+00	1.416000e+00	3.150797e+00	2.935828e-02	2.935828e-02
1.416000e+00	1.428000e+00	3.072519e+00	2.914625e-02	2.914625e-02
1.428000e+00	1.440000e+00	3.040604e+00	2.988543e-02	2.988543e-02
1.440000e+00	1.452000e+00	2.932791e+00	2.893353e-02	2.893353e-02
1.452000e+00	1.464000e+00	2.997232e+00	3.082728e-02	3.082728e-02
1.464000e+00	1.476000e+00	2.986886e+00	3.129099e-02	3.129099e-02
1.476000e+00	1.488000e+00	2.976378e+00	3.069836e-02	3.069836e-02
1.488000e+00	1.500000e+00	2.891604e+00	3.040437e-02	3.040437e-02
1.500000e+00	1.512000e+00	2.913727e+00	3.090718e-02	3.090718e-02
1.512000e+00	1.524000e+00	2.843278e+00	3.186968e-02	3.186968e-02
1.524000e+00	1.536000e+00	2.826596e+00	3.151313e-02	3.151313e-02
1.536000e+00	1.548000e+00	2.853592e+00	3.347600e-02	3.347600e-02
1.548000e+00	1.560000e+00	2.822829e+00	3.414738e-02	3.414738e-02
1.560000e+00	1.572000e+00	2.846888e+00	3.340528e-02	3.340528e-02
1.572000e+00	1.584000e+00	2.782153e+00	3.369141e-02	3.369141e-02
1.584000e+00	1.596000e+00	2.728822e+00	3.360582e-02	3.360582e-02
1.596000e+00	1.608000e+00	2.750324e+00	3.445741e-02	3.445741e-02
1.608000e+00	1.620000e+00	2.749723e+00	3.595896e-02	3.595896e-02
1.620000e+00	1.632000e+00	2.775906e+00	3.719213e-02	3.719213e-02
1.632000e+00	1.644000e+00	2.768373e+00	3.816839e-02	3.816839e-02
1.644000e+00	1.656000e+00	2.677955e+00	3.909029e-02	3.909029e-02
1.656000e+00	1.668000e+00	2.705348e+00	3.963429e-02	3.963429e-02
1.668000e+00	1.680000e+00	2.676388e+00	3.857590e-02	3.857590e-02
