xlow	xhigh	val	errminus	errplus
9.480000e-01	9.600000e-01	7.413661e+00	4.714592e-02	4.714592e-02
9.600000e-01	9.720000e-01	7.106205e+00	4.496229e-02	4.496229e-02
9.720000e-01	9.840000e-01	6.976847e+00	4.449930e-02	4.449930e-02
9.840000e-01	9.960000e-01	6.747273e+00	4.387438e-02	4.387438e-02
9.960000e-01	1.008000e+00	6.585829e+00	4.385972e-02	4.385972e-02
1.008000e+00	1.020000e+00	6.414590e+00	4.222347e-02	4.222347e-02
1.020000e+00	1.032000e+00	6.249430e+00	4.161618e-02	4.161618e-02
1.032000e+00	1.044000e+00	6.032462e+00	4.060206e-02	4.060206e-02
1.044000e+00	1.056000e+00	5.893403e+00	4.003756e-02	4.003756e-02
1.056000e+00	1.068000e+00	5.805255e+00	3.936714e-02	3.936714e-02
1.068000e+00	1.080000e+00	5.604123e+00	3.930804e-02	3.930804e-02
1.080000e+00	1.092000e+00	5.460089e+00	3.822386e-02	3.822386e-02
1.092000e+00	1.104000e+00	5.300162e+00	3.680898e-02	3.680898e-02
1.104000e+00	1.116000e+00	5.257945e+00	3.687587e-02	3.687587e-02
1.116000e+00	1.128000e+00	5.039009e+00	3.588127e-02	3.588127e-02
1.128000e+00	1.140000e+00	4.899491e+00	3.499667e-02	3.499667e-02
1.140000e+00	1.152000e+00	4.850013e+00	3.510035e-02	3.510035e-02
1.152000e+00	1.164000e+00	4.684770e+00	3.412874e-02	3.412874e-02
1.164000e+00	1.176000e+00	4.582327e+00	3.402203e-02	3.402203e-02
1.176000e+00	1.188000e+00	4.506260e+00	3.326577e-02	3.326577e-02
1.188000e+00	1.200000e+00	4.394245e+00	3.293340e-02	3.293340e-02
1.200000e+00	1.212000e+00	4.291693e+00	3.240779e-02	3.240779e-02
1.212000e+00	1.224000e+00	4.170074e+00	3.200721e-02	3.200721e-02
1.224000e+00	1.236000e+00	4.129226e+00	3.206072e-02	3.206072e-02
1.236000e+00	1.248000e+00	4.046543e+00	3.083617e-02	3.083617e-02
1.248000e+00	1.260000e+00	4.044756e+00	3.207950e-02	3.207950e-02
1.260000e+00	1.272000e+00	3.942349e+00	3.146286e-02	3.146286e-02
1.272000e+00	1.284000e+00	3.823067e+00	3.071741e-02	3.071741e-02
1.284000e+00	1.296000e+00	3.792921e+00	3.140215e-02	3.140215e-02
1.296000e+00	1.308000e+00	3.716438e+00	3.111011e-02	3.111011e-02
1.308000e+00	1.320000e+00	3.686131e+00	3.060479e-02	3.060479e-02
1.320000e+00	1.332000e+00	3.623801e+00	2.986439e-02	2.986439e-02
1.332000e+00	1.344000e+00	3.568334e+00	3.022408e-02	3.022408e-02
1.344000e+00	1.356000e+00	3.526919e+00	3.057214e-02	3.057214e-02
1.356000e+00	1.368000e+00	3.497947e+00	3.078213e-02	3.078213e-02
1.368000e+00	1.380000e+00	3.482673e+00	3.177531e-02	3.177531e-02
1.380000e+00	1.392000e+00	3.385911e+00	2.941461e-02	2.941461e-02
1.392000e+00	1.404000e+00	3.373339e+00	3.111944e-02	3.111944e-02
1.404000e+00	1.416000e+00	3.388643e+00	3.109064e-02	3.109064e-02
1.416000e+00	1.428000e+00	3.316112e+00	3.106855e-02	3.106855e-02
1.428000e+00	1.440000e+00	3.276535e+00	3.167182e-02	3.167182e-02
1.440000e+00	1.452000e+00	3.156921e+00	3.072933e-02	3.072933e-02
1.452000e+00	1.464000e+00	3.229740e+00	3.255812e-02	3.255812e-02
1.464000e+00	1.476000e+00	3.218834e+00	3.300437e-02	3.300437e-02
1.476000e+00	1.488000e+00	3.195046e+00	3.236556e-02	3.236556e-02
1.488000e+00	1.500000e+00	3.119567e+00	3.211967e-02	3.211967e-02
1.500000e+00	1.512000e+00	3.129044e+00	3.276377e-02	3.276377e-02
1.512000e+00	1.524000e+00	3.061745e+00	3.368276e-02	3.368276e-02
1.524000e+00	1.536000e+00	3.038664e+00	3.314029e-02	3.314029e-02
1.536000e+00	1.548000e+00	3.066568e+00	3.533612e-02	3.533612e-02
