xlow	xhigh	val	errminus	errplus
9.480000e-01	9.600000e-01	3.716830e+00	1.677827e-02	1.677827e-02
9.600000e-01	9.720000e-01	3.542598e+00	1.609399e-02	1.609399e-02
9.720000e-01	9.840000e-01	3.438038e+00	1.577343e-02	1.577343e-02
9.840000e-01	9.960000e-01	3.301422e+00	1.528743e-02	1.528743e-02
9.960000e-01	1.008000e+00	3.224440e+00	1.515047e-02	1.515047e-02
1.008000e+00	1.020000e+00	3.119923e+00	1.464165e-02	1.464165e-02
1.020000e+00	1.032000e+00	2.998859e+00	1.418138e-02	1.418138e-02
1.032000e+00	1.044000e+00	2.885128e+00	1.379804e-02	1.379804e-02
1.044000e+00	1.056000e+00	2.782639e+00	1.337138e-02	1.337138e-02
1.056000e+00	1.068000e+00	2.722189e+00	1.320468e-02	1.320468e-02
1.068000e+00	1.080000e+00	2.613421e+00	1.288824e-02	1.288824e-02
1.080000e+00	1.092000e+00	2.542092e+00	1.260125e-02	1.260125e-02
1.092000e+00	1.104000e+00	2.443007e+00	1.186072e-02	1.186072e-02
1.104000e+00	1.116000e+00	2.374611e+00	1.163546e-02	1.163546e-02
1.116000e+00	1.128000e+00	2.289117e+00	1.135178e-02	1.135178e-02
1.128000e+00	1.140000e+00	2.216792e+00	1.097789e-02	1.097789e-02
1.140000e+00	1.152000e+00	2.155397e+00	1.080789e-02	1.080789e-02
1.152000e+00	1.164000e+00	2.080624e+00	1.047621e-02	1.047621e-02
1.164000e+00	1.176000e+00	2.025042e+00	1.028109e-02	1.028109e-02
1.176000e+00	1.188000e+00	1.981044e+00	9.873239e-03	9.873239e-03
1.188000e+00	1.200000e+00	1.926637e+00	9.750143e-03	9.750143e-03
1.200000e+00	1.212000e+00	1.868683e+00	9.498205e-03	9.498205e-03
1.212000e+00	1.224000e+00	1.806821e+00	9.205434e-03	9.205434e-03
1.224000e+00	1.236000e+00	1.770879e+00	9.234579e-03	9.234579e-03
1.236000e+00	1.248000e+00	1.727014e+00	8.813779e-03	8.813779e-03
1.248000e+00	1.260000e+00	1.689109e+00	8.664884e-03	8.664884e-03
1.260000e+00	1.272000e+00	1.650953e+00	8.378744e-03	8.378744e-03
1.272000e+00	1.284000e+00	1.614589e+00	8.328776e-03	8.328776e-03
1.284000e+00	1.296000e+00	1.581586e+00	8.225067e-03	8.225067e-03
1.296000e+00	1.308000e+00	1.543895e+00	7.906330e-03	7.906330e-03
1.308000e+00	1.320000e+00	1.504602e+00	7.560288e-03	7.560288e-03
1.320000e+00	1.332000e+00	1.468832e+00	7.550045e-03	7.550045e-03
1.332000e+00	1.344000e+00	1.448191e+00	7.372277e-03	7.372277e-03
1.344000e+00	1.356000e+00	1.431531e+00	7.389752e-03	7.389752e-03
1.356000e+00	1.368000e+00	1.403865e+00	7.262375e-03	7.262375e-03
1.368000e+00	1.380000e+00	1.395173e+00	7.239449e-03	7.239449e-03
1.380000e+00	1.392000e+00	1.368577e+00	6.970902e-03	6.970902e-03
1.392000e+00	1.404000e+00	1.342808e+00	7.010954e-03	7.010954e-03
1.404000e+00	1.416000e+00	1.321146e+00	6.855270e-03	6.855270e-03
1.416000e+00	1.428000e+00	1.291985e+00	6.567007e-03	6.567007e-03
1.428000e+00	1.440000e+00	1.283944e+00	6.654164e-03	6.654164e-03
1.440000e+00	1.452000e+00	1.251665e+00	6.250017e-03	6.250017e-03
1.452000e+00	1.464000e+00	1.246963e+00	6.391654e-03	6.391654e-03
1.464000e+00	1.476000e+00	1.243482e+00	6.332046e-03	6.332046e-03
1.476000e+00	1.488000e+00	1.213747e+00	6.028872e-03	6.028872e-03
1.488000e+00	1.500000e+00	1.215221e+00	6.273770e-03	6.273770e-03
1.500000e+00	1.512000e+00	1.187351e+00	5.959810e-03	5.959810e-03
1.512000e+00	1.524000e+00	1.173150e+00	5.808841e-03	5.808841e-03
1.524000e+00	1.536000e+00	1.169693e+00	5.934917e-03	5.934917e-03
1.536000e+00	1.548000e+00	1.162418e+00	5.958138e-03	5.958138e-03
1.548000e+00	1.560000e+00	1.144116e+00	5.813120e-03	5.813120e-03
1.560000e+00	1.572000e+00	1.149478e+00	5.844016e-03	5.844016e-03
1.572000e+00	1.584000e+00	1.125116e+00	5.493574e-03	5.493574e-03
1.584000e+00	1.596000e+00	1.110273e+00	5.283897e-03	5.283897e-03
1.596000e+00	1.608000e+00	1.119387e+00	5.693336e-03	5.693336e-03
1.608000e+00	1.620000e+00	1.103429e+00	5.372607e-03	5.372607e-03
1.620000e+00	1.632000e+00	1.099343e+00	5.457868e-03	5.457868e-03
1.632000e+00	1.644000e+00	1.109036e+00	5.876533e-03	5.876533e-03
1.644000e+00	1.656000e+00	1.092652e+00	5.526571e-03	5.526571e-03
1.656000e+00	1.668000e+00	1.075681e+00	4.989552e-03	4.989552e-03
1.668000e+00	1.680000e+00	1.075193e+00	5.139911e-03	5.139911e-03
1.680000e+00	1.692000e+00	1.066541e+00	5.133410e-03	5.133410e-03
1.692000e+00	1.704000e+00	1.073875e+00	5.357624e-03	5.357624e-03
1.704000e+00	1.716000e+00	1.054560e+00	4.796020e-03	4.796020e-03
1.716000e+00	1.728000e+00	1.061739e+00	5.204610e-03	5.204610e-03
1.728000e+00	1.740000e+00	1.056153e+00	5.196501e-03	5.196501e-03
1.740000e+00	1.752000e+00	1.046867e+00	4.898650e-03	4.898650e-03
1.752000e+00	1.764000e+00	1.050463e+00	5.021681e-03	5.021681e-03
1.764000e+00	1.776000e+00	1.049832e+00	5.270734e-03	5.270734e-03
1.776000e+00	1.788000e+00	1.048477e+00	5.498376e-03	5.498376e-03
1.788000e+00	1.800000e+00	1.043087e+00	5.462817e-03	5.462817e-03
1.800000e+00	1.812000e+00	1.040947e+00	5.014081e-03	5.014081e-03
1.812000e+00	1.824000e+00	1.031746e+00	4.607391e-03	4.607391e-03
1.824000e+00	1.836000e+00	1.033794e+00	5.126247e-03	5.126247e-03
1.836000e+00	1.848000e+00	1.027842e+00	4.577086e-03	4.577086e-03
1.848000e+00	1.860000e+00	1.028394e+00	4.949815e-03	4.949815e-03
1.860000e+00	1.872000e+00	1.025496e+00	5.026799e-03	5.026799e-03
1.872000e+00	1.884000e+00	1.024583e+00	4.590301e-03	4.590301e-03
1.884000e+00	1.896000e+00	1.012461e+00	3.576573e-03	3.576573e-03
1.896000e+00	1.908000e+00	1.015284e+00	4.055657e-03	4.055657e-03
1.908000e+00	1.920000e+00	1.016509e+00	4.378340e-03	4.378340e-03
1.920000e+00	1.932000e+00	1.018497e+00	4.583960e-03	4.583960e-03
1.932000e+00	1.944000e+00	1.006676e+00	2.977411e-03	2.977411e-03
1.944000e+00	1.956000e+00	1.014306e+00	4.494742e-03	4.494742e-03
1.956000e+00	1.968000e+00	1.026563e+00	6.734622e-03	6.734622e-03
1.968000e+00	1.980000e+00	1.016082e+00	4.813239e-03	4.813239e-03
1.980000e+00	1.992000e+00	1.012613e+00	4.741234e-03	4.741234e-03
1.992000e+00	2.004000e+00	1.017606e+00	5.523028e-03	5.523028e-03
2.004000e+00	2.016000e+00	1.011673e+00	4.742263e-03	4.742263e-03
2.016000e+00	2.028000e+00	1.006160e+00	3.549247e-03	3.549247e-03
2.028000e+00	2.040000e+00	1.007353e+00	4.234779e-03	4.234779e-03
